task_id,run_id,task_queue_id,priority_at_pending,pending_at,started_at,resolved_at,reason_resolved,run_duration_s,normalized_name,max_run_time_s
C9kccloaTrukxVoX1-_kBA,0,releng-hardware/win11-64-24h2-hw-ref,medium,2026-08-01 00:05:01.077+00,2026-08-01 00:06:08.305+00,2026-08-01 00:27:04.249+00,completed,1255.944,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-chrome-speedometer3-native-profiling,4200
KxoOvT_YTk-sDxh6zW1AfA,0,releng-hardware/win11-64-24h2-hw-ref,medium,2026-08-01 00:05:01.131+00,2026-08-01 00:06:22.259+00,2026-08-01 00:16:12.947+00,completed,590.688,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-chrome-speedometer3,2100
KEn-c7mQQuSMUGh5NYNwpA,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:47:54.971+00,2026-08-01 00:47:55.15+00,2026-08-01 01:00:14.453+00,completed,739.303,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
OSgVPlEHRHCxriisqKo1PA,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:47:55.014+00,2026-08-01 00:47:55.464+00,2026-08-01 00:59:41.341+00,completed,705.877,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
ROIvsENQTM68vTKSHXHCiQ,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:47:55.032+00,2026-08-01 00:47:55.642+00,2026-08-01 01:00:29.109+00,completed,753.467,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
SuDjfhbjTtCVjz8txIkg_g,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:47:55.047+00,2026-08-01 00:47:55.723+00,2026-08-01 01:00:00.821+00,completed,725.098,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
XzjvyOFhTueArLyzS5psDg,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:47:55.085+00,2026-08-01 00:47:55.854+00,2026-08-01 00:59:36.004+00,completed,700.15,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
a1mg3eiMTDWPSwPi65Xm-w,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:48:05.055+00,2026-08-01 00:48:05.875+00,2026-08-01 01:00:37.333+00,completed,751.458,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
B6TUeFvKS16DW8MIfeCopg,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:48:05.073+00,2026-08-01 00:48:05.887+00,2026-08-01 01:00:40.611+00,completed,754.724,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
FkpSqstYQ6mM3vT6ZhrRxg,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:48:05.085+00,2026-08-01 00:48:05.993+00,2026-08-01 01:00:13.2+00,completed,727.207,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
IZIjKgNdQvKF8t9ozIHVJA,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:48:05.099+00,2026-08-01 00:48:09.522+00,2026-08-01 01:00:51.066+00,completed,761.544,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
R5PIGvEJQ8en9wblrc4mHg,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:48:05.111+00,2026-08-01 00:49:06.632+00,2026-08-01 01:00:49.585+00,completed,702.953,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
dd0YX2GORP-eahdkl6OMoQ,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:48:20.162+00,2026-08-01 01:01:50.618+00,2026-08-01 01:13:03.273+00,completed,672.655,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
J7n2qtuaRBKWudS0DvNEAA,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:48:20.175+00,2026-08-01 01:01:56.164+00,2026-08-01 01:13:19.697+00,completed,683.533,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
J7SwQLPXQ-2uh5V_ZF-VUA,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:48:20.186+00,2026-08-01 01:02:16.804+00,2026-08-01 01:13:36.667+00,completed,679.863,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
KBmk1W3hSQSx-6kwQ8JEFg,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:48:20.198+00,2026-08-01 01:02:29.025+00,2026-08-01 01:13:41.857+00,completed,672.832,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
TWxK1Qt1QRakhOCvMHCZLQ,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:48:20.209+00,2026-08-01 01:02:31.793+00,2026-08-01 01:13:44.707+00,completed,672.914,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
a12gSgIXT_CMPUb57v-E5g,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:50:35.809+00,2026-08-01 01:02:43.057+00,2026-08-01 01:13:56.164+00,completed,673.107,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
K0xIjkPiSESENeif8Mlmhg,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:50:35.876+00,2026-08-01 01:02:53.248+00,2026-08-01 01:14:07.988+00,completed,674.74,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
SRFTApZqQPS0iXcQkZbj5A,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:50:35.894+00,2026-08-01 01:02:55.173+00,2026-08-01 01:14:11.041+00,completed,675.868,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
SuVN8po9TeGFgajSFKj1iw,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:50:35.91+00,2026-08-01 01:03:03.849+00,2026-08-01 01:14:25.488+00,completed,681.639,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
UykwiqTiR0SXEnYnHPEcTw,0,releng-hardware/win11-64-24h2-hw-ref,very-low,2026-08-01 00:50:35.925+00,2026-08-01 01:03:09.109+00,2026-08-01 01:14:25.642+00,completed,676.533,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3,2100
EmkYKHVFSS-2Qijgc_N8aw,0,releng-hardware/win11-64-24h2-hw-ref,,2026-08-01 01:03:21.592+00,,2026-08-01 01:03:21.592+00,deadline-exceeded,,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-custom-car-speedometer3-native-profiling,4200
E27uYOA1R-iyIPCkuZszEw,0,releng-hardware/win11-64-24h2-hw-ref,,2026-08-01 01:03:21.631+00,,2026-08-01 01:03:21.631+00,deadline-exceeded,,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-custom-car-speedometer3,2100
BAyqrWG-RRy618CRuTiUPg,0,releng-hardware/win11-64-24h2-hw-ref,low,2026-08-01 01:32:56.999+00,2026-08-01 01:32:57.145+00,2026-08-01 01:39:42.584+00,completed,405.439,perftest-windows11-24h2-ref-ml-perf-semantic-ft,2400
bBoCzCpmRReSQDOmwx95eg,0,releng-hardware/win11-64-24h2-hw-ref,low,2026-08-01 01:32:57.012+00,2026-08-01 01:32:57.167+00,2026-08-01 01:37:44.819+00,completed,287.652,perftest-windows11-24h2-ref-ml-security-perf,2400
BkYAn3IZTwOis7Q-Mf-4xQ,0,releng-hardware/win11-64-24h2-hw-ref,low,2026-08-01 01:32:57.068+00,2026-08-01 01:32:57.281+00,2026-08-01 01:37:47.269+00,completed,289.988,perftest-windows11-24h2-ref-ml-multi-perf,2400
e1p9Pny5ThOHjMixf1wpRw,0,releng-hardware/win11-64-24h2-hw-ref,low,2026-08-01 01:32:57.648+00,2026-08-01 01:32:57.738+00,2026-08-01 01:44:10.366+00,completed,672.628,test-windows11-64-24h2-hw-ref-shippable/opt-browsertime-benchmark-firefox-speedometer3-no-nv,2100
ekxcQGKMSiquNrbCTJUvpA,0,releng-hardware/win11-64-24h2-hw-ref,low,2026-08-01 01:32:57.785+00,2026-08-01 01:32:58.286+00,2026-08-01 01:37:47.991+00,completed,289.705,perftest-windows11-24h2-ref-ml-perf-suggest-ft,2400
FUqFdqgrRl6wRsZPU7aV9Q,0,releng-hardware/win11-64-24h2-hw-ref,low,2026-08-01 01:32:58.017+00,2026-08-01 01:32:58.518+00,2026-08-01 01:37:35.724+00,completed,277.206,perftest-windows11-24h2-ref-ml-perf,2400
GJVfJ_a-SKWU540brJkMXA,0,releng-hardware/win11-64-24h2-hw-ref,low,2026-08-01 01:32:58.068+00,2026-08-01 01:32:58.612+00,2026-08-01 01:37:59.89+00,completed,301.278,perftest-windows11-24h2-ref-ml-perf-smart-tab,2400
JvronRnmRti8pe1MYw9QqA,0,releng-hardware/win11-64-24h2-hw-ref,low,2026-08-01 01:32:58.34+00,2026-08-01 01:32:58.619+00,2026-08-01 01:38:23.71+00,failed,325.091,perftest-windows11-24h2-ref-ml-llama-summarizer-perf,2400
