cohort_as_of,config,target,baseline_mae,model_mae,delta_mae_pct,baseline_within_2x,model_within_2x,delta_within_2x_pp,p90_coverage,lt1m_mae,1-5m_mae,5-30m_mae,30mplus_mae,lt1m_within_2x,1-5m_within_2x,5-30m_within_2x,30mplus_within_2x,30mplus_wait_p90_miss,30mplus_wait_p90_miss_guarded,hold_rows,peak_rss_mb,cohort_is_anomalous
2026-06-01,run_duration_residual,run_duration,129.6763,119.6552,-7.7278,0.9085,0.9183,0.9744,0.8944,,,,,,,,,,,940516,,True
2026-06-01,wait_time_residual_throughput_filtered_baseline,wait_time,435.2660,265.4114,-39.0232,0.5207,0.5924,7.1738,0.8863,15.6897,69.3606,302.5915,4897.4417,0.4755,0.7605,0.7234,0.6012,,,963736,,True
2026-06-02,run_duration_residual,run_duration,125.8497,112.2268,-10.8248,0.9091,0.9202,1.1167,0.8928,,,,,,,,,,,940833,,True
2026-06-02,wait_time_residual_throughput_filtered_baseline,wait_time,395.9954,259.7309,-34.4106,0.5242,0.5944,7.0227,0.8681,14.8943,67.9991,295.6188,5095.4818,0.4757,0.7652,0.7164,0.6237,,,965564,,True
2026-06-04,run_duration_residual,run_duration,114.1364,102.9477,-9.8030,0.9163,0.9257,0.9396,0.9065,,,,,,,,,,,929651,,True
2026-06-04,wait_time_residual_throughput_filtered_baseline,wait_time,254.2741,420.2201,65.2626,0.5385,0.5917,5.3149,0.8715,16.0786,71.5980,333.7806,8929.6574,0.4768,0.7624,0.7003,0.6181,,,957898,,True
2026-06-06,run_duration_residual,run_duration,116.3654,106.6479,-8.3509,0.9144,0.9239,0.9436,0.9034,,,,,,,,,,,1133231,,True
2026-06-06,wait_time_residual_throughput_filtered_baseline,wait_time,315.3753,458.7990,45.4771,0.5276,0.5784,5.0772,0.8623,15.6438,74.4275,322.3009,8908.9040,0.4680,0.7402,0.6841,0.6364,,,1173036,,True
2026-06-13,wait_time_residual_throughput_filtered_baseline,wait_time,405.0274,421.9963,4.1896,0.5285,0.5758,4.7261,0.8702,18.3299,78.6107,297.0112,6778.8598,0.4546,0.7366,0.7256,0.6044,0.4535,0.3594,1243342,8492.8000,False
2026-06-14,wait_time_residual_throughput_filtered_baseline,wait_time,393.5066,399.0562,1.4103,0.5366,0.5854,4.8813,0.8824,18.7991,78.2438,307.3914,6155.5939,0.4616,0.7474,0.7227,0.6264,0.3982,0.3367,1118075,11809.1000,True
