cohort_as_of,config,target,baseline_mae,model_mae,delta_mae_pct,baseline_within_2x,model_within_2x,delta_within_2x_pp,p90_coverage,lt1m_mae,1-5m_mae,5-30m_mae,30mplus_mae,lt1m_within_2x,1-5m_within_2x,5-30m_within_2x,30mplus_within_2x,hold_rows,cohort_is_anomalous
2026-04-14,run_duration,run_duration,141.2897,141.4160,0.0894,0.9146,0.9092,-0.5429,0.8964,,,,,,,,,935671,False
2026-04-14,run_duration_residual,run_duration,141.2897,131.6617,-6.8143,0.9146,0.9226,0.8048,0.8944,,,,,,,,,935671,False
2026-04-14,wait_time,wait_time,914.4279,460.3695,-49.6549,0.5393,0.5247,-1.4577,0.8953,28.3420,102.4208,475.0182,5245.9716,0.3259,0.7698,0.6751,0.5864,962101,False
2026-04-14,wait_time_residual,wait_time,914.4279,515.7912,-43.5941,0.5393,0.5888,4.9517,0.8734,24.3903,101.5294,448.2983,6215.1072,0.4638,0.7503,0.6904,0.5771,962101,False
2026-04-14,wait_time_residual_throughput,wait_time,914.4279,552.6761,-39.5604,0.5393,0.6101,7.0838,0.8758,24.0901,97.2698,474.8858,6738.9554,0.4873,0.7783,0.6987,0.5857,962101,False
2026-04-15,run_duration,run_duration,142.2691,137.4516,-3.3862,0.9120,0.9096,-0.2376,0.8947,,,,,,,,,842633,False
2026-04-15,run_duration_residual,run_duration,142.2691,133.1916,-6.3805,0.9120,0.9206,0.8568,0.8940,,,,,,,,,842633,False
2026-04-15,wait_time,wait_time,828.7236,410.0349,-50.5221,0.5433,0.4797,-6.3660,0.9310,28.5487,117.1309,469.4568,5062.8079,0.2348,0.7859,0.6681,0.6170,868389,False
2026-04-15,wait_time_residual,wait_time,828.7236,569.2561,-31.3093,0.5433,0.5861,4.2742,0.8924,25.9994,104.6719,516.9483,7838.8460,0.4618,0.7453,0.7067,0.5608,868389,False
2026-04-15,wait_time_residual_throughput,wait_time,828.7236,552.3077,-33.3544,0.5433,0.6150,7.1644,0.8875,23.1167,92.7958,509.4724,7642.7774,0.4875,0.7875,0.7176,0.6017,868389,False
2026-04-15,wait_time_residual_throughput_filtered_baseline,wait_time,865.2263,797.3397,-7.8461,0.5384,0.6120,7.3578,0.8939,24.7729,105.9683,565.5509,11759.9413,0.4822,0.7889,0.7287,0.5537,868389,False
2026-04-15,wait_time_residual_velocity,wait_time,828.7236,544.7120,-34.2710,0.5433,0.6045,6.1129,0.8865,23.5364,97.0670,514.4822,7467.8864,0.4758,0.7716,0.7224,0.5862,868389,False
2026-04-16,run_duration,run_duration,150.5867,136.9155,-9.0786,0.9002,0.9051,0.4826,0.8944,,,,,,,,,740907,False
2026-04-16,run_duration_residual,run_duration,150.5867,138.3867,-8.1016,0.9002,0.9109,1.0654,0.8929,,,,,,,,,740907,False
2026-04-16,wait_time,wait_time,569.8660,333.9576,-41.3972,0.5463,0.4660,-8.0323,0.9541,27.6298,74.6485,356.3134,5486.2526,0.2309,0.7940,0.6497,0.5734,759135,False
2026-04-16,wait_time_residual,wait_time,569.8660,334.4524,-41.3103,0.5463,0.5866,4.0324,0.8862,23.7247,89.1161,421.1214,5210.8577,0.4629,0.7487,0.7016,0.6257,759135,False
2026-04-16,wait_time_residual_throughput,wait_time,569.8660,305.1418,-46.4538,0.5463,0.6178,7.1472,0.8862,20.0703,77.9210,370.2423,4846.4607,0.4896,0.7874,0.7321,0.6556,759135,False
2026-04-16,wait_time_residual_throughput_filtered,wait_time,569.8660,334.1033,-41.3716,0.5463,0.6129,6.6597,0.8861,18.9915,73.6898,371.2388,5542.0586,0.4851,0.7866,0.7197,0.6496,759135,False
2026-04-16,wait_time_residual_throughput_filtered_baseline,wait_time,567.1779,332.9824,-41.2914,0.5446,0.6113,6.6682,0.8895,19.8713,78.1057,374.6096,5466.3038,0.4789,0.7905,0.7274,0.6357,759135,False
2026-04-16,wait_time_residual_throughput_filtered_both,wait_time,567.1779,358.5065,-36.7912,0.5446,0.6050,6.0419,0.8855,20.0367,78.0272,389.7703,5989.7627,0.4713,0.7897,0.7210,0.6118,759135,False
2026-04-16,wait_time_residual_velocity,wait_time,569.8660,305.3639,-46.4148,0.5463,0.6029,5.6645,0.8768,20.7921,83.1569,386.9281,4747.8897,0.4755,0.7663,0.7221,0.6570,759135,False
2026-04-17,run_duration,run_duration,154.9800,143.6635,-7.3019,0.8945,0.8981,0.3620,0.8962,,,,,,,,,797924,False
2026-04-17,run_duration_residual,run_duration,154.9800,143.5701,-7.3622,0.8945,0.9044,0.9891,0.8929,,,,,,,,,797924,False
2026-04-17,wait_time,wait_time,625.2500,339.8480,-45.6461,0.5278,0.5618,3.4015,0.9316,28.6167,94.6223,458.3600,4547.9788,0.4155,0.7694,0.6693,0.6797,819546,False
2026-04-17,wait_time_residual,wait_time,625.2500,427.3812,-31.6463,0.5278,0.5709,4.3116,0.8890,26.3374,104.8426,581.7458,5878.3762,0.4497,0.7388,0.6826,0.6157,819546,False
2026-04-17,wait_time_residual_throughput,wait_time,625.2500,417.7138,-33.1925,0.5278,0.5924,6.4567,0.8844,22.5461,92.6834,498.7877,6058.0090,0.4696,0.7716,0.6913,0.6264,819546,False
2026-04-17,wait_time_residual_throughput_filtered,wait_time,625.2500,396.0133,-36.6632,0.5278,0.5930,6.5163,0.8857,22.8723,93.0963,507.7116,5586.5377,0.4699,0.7691,0.6927,0.6483,819546,False
2026-04-17,wait_time_residual_throughput_filtered_baseline,wait_time,624.5739,424.5600,-32.0241,0.5274,0.5930,6.5567,0.8863,22.1996,88.2674,473.5598,6304.6897,0.4672,0.7737,0.6878,0.6665,819546,False
2026-04-17,wait_time_residual_throughput_filtered_both,wait_time,624.5739,423.8746,-32.1338,0.5274,0.5924,6.4980,0.8916,21.8026,85.1663,486.0485,6270.4440,0.4664,0.7755,0.6863,0.6571,819546,False
2026-04-17,wait_time_residual_velocity,wait_time,625.2500,384.8466,-38.4492,0.5278,0.5789,5.1079,0.8768,22.1099,95.9842,510.4831,5345.9500,0.4565,0.7446,0.6851,0.6617,819546,False
2026-04-18,run_duration,run_duration,154.8111,149.1065,-3.6849,0.8947,0.8956,0.0979,0.8984,,,,,,,,,882507,False
2026-04-18,run_duration_residual,run_duration,154.8111,143.9129,-7.0397,0.8947,0.9038,0.9161,0.8960,,,,,,,,,882507,False
2026-04-18,wait_time,wait_time,611.8945,398.0616,-34.9460,0.5230,0.5380,1.5007,0.9165,33.2016,113.1769,535.2859,5139.1658,0.3828,0.7619,0.6607,0.6408,906930,False
2026-04-18,wait_time_residual,wait_time,611.8945,456.9764,-25.3178,0.5230,0.5629,3.9844,0.9000,32.4477,124.3143,696.0160,5724.7747,0.4381,0.7395,0.6755,0.6081,906930,False
2026-04-18,wait_time_residual_throughput,wait_time,611.8945,446.9927,-26.9494,0.5230,0.5863,6.3227,0.8908,26.9714,108.0370,577.4542,6047.1040,0.4669,0.7647,0.6849,0.6041,906930,False
2026-04-18,wait_time_residual_throughput_filtered_baseline,wait_time,611.9225,430.7433,-29.6082,0.5225,0.5869,6.4380,0.8953,27.4774,108.1524,568.9565,5751.9552,0.4634,0.7660,0.6846,0.6534,906930,False
2026-04-18,wait_time_residual_velocity,wait_time,611.8945,398.5960,-34.8587,0.5230,0.5664,4.3344,0.8811,25.1793,111.5978,570.2544,5128.3726,0.4526,0.7205,0.6677,0.6462,906930,False
2026-04-19,run_duration,run_duration,155.1017,153.2169,-1.2153,0.8907,0.8894,-0.1274,0.9014,,,,,,,,,731367,False
2026-04-19,run_duration_residual,run_duration,155.1017,146.9964,-5.2258,0.8907,0.8973,0.6652,0.8973,,,,,,,,,731367,False
2026-04-19,wait_time,wait_time,549.6073,386.5065,-29.6759,0.5289,0.4588,-7.0181,0.9182,34.7375,115.2361,556.9541,5472.8939,0.2432,0.7602,0.6490,0.6422,749978,False
2026-04-19,wait_time_residual,wait_time,549.6073,420.3330,-23.5212,0.5289,0.5610,3.2092,0.8958,34.1289,128.0905,748.3702,5459.0020,0.4400,0.7369,0.6657,0.6167,749978,False
2026-04-19,wait_time_residual_throughput,wait_time,549.6073,393.2867,-28.4422,0.5289,0.5841,5.5151,0.8850,27.5796,110.9074,607.0309,5549.8255,0.4705,0.7618,0.6638,0.6199,749978,False
2026-04-19,wait_time_residual_throughput_filtered,wait_time,549.6073,382.3802,-30.4267,0.5289,0.5844,5.5483,0.8835,26.8487,109.8733,583.0036,5410.3477,0.4667,0.7628,0.6728,0.6321,749978,False
2026-04-19,wait_time_residual_throughput_filtered_baseline,wait_time,553.3535,406.5299,-26.5334,0.5283,0.5809,5.2650,0.8916,29.0326,115.9927,632.5192,5704.4730,0.4659,0.7618,0.6627,0.6172,749978,False
2026-04-19,wait_time_residual_throughput_filtered_both,wait_time,553.3535,403.0065,-27.1701,0.5283,0.5816,5.3293,0.8850,29.5079,113.7293,623.7916,5665.2643,0.4648,0.7591,0.6772,0.6132,749978,False
2026-04-19,wait_time_residual_velocity,wait_time,549.6073,363.6237,-33.8394,0.5289,0.5398,1.0865,0.8529,25.5519,116.1937,617.9961,4847.0339,0.4429,0.6801,0.6074,0.6408,749978,False
2026-04-20,run_duration,run_duration,142.6526,149.6579,4.9108,0.8928,0.8898,-0.3058,0.9015,,,,,,,,,628458,False
2026-04-20,run_duration_residual,run_duration,142.6526,136.7507,-4.1373,0.8928,0.8983,0.5517,0.8994,,,,,,,,,628458,False
2026-04-20,wait_time,wait_time,401.8433,401.3614,-0.1199,0.5423,0.5592,1.6859,0.9218,37.2959,131.4373,672.8712,6348.9652,0.4286,0.7549,0.6740,0.5937,638524,False
2026-04-20,wait_time_residual,wait_time,401.8433,410.2113,2.0824,0.5423,0.5670,2.4677,0.8867,33.9953,129.5270,767.0566,6236.6888,0.4506,0.7383,0.6821,0.5664,638524,False
2026-04-20,wait_time_residual_throughput,wait_time,401.8433,365.8017,-8.9691,0.5423,0.5930,5.0696,0.8901,26.9681,109.7611,579.0411,6105.4752,0.4773,0.7701,0.7049,0.5508,638524,False
2026-04-20,wait_time_residual_throughput_filtered,wait_time,401.8433,351.0895,-12.6303,0.5423,0.5914,4.9084,0.8839,26.9377,107.2349,548.4871,5863.3342,0.4727,0.7683,0.7037,0.5900,638524,False
2026-04-20,wait_time_residual_throughput_filtered_baseline,wait_time,406.3330,395.8208,-2.5871,0.5407,0.5917,5.1014,0.8907,28.7316,112.3151,635.8269,6616.6330,0.4772,0.7684,0.6955,0.5762,638524,False
2026-04-20,wait_time_residual_throughput_filtered_both,wait_time,406.3330,373.9032,-7.9811,0.5407,0.5908,5.0116,0.8926,28.4910,109.0187,588.7160,6262.4931,0.4721,0.7717,0.7042,0.5669,638524,False
2026-04-20,wait_time_residual_velocity,wait_time,401.8433,333.8415,-16.9225,0.5423,0.5209,-2.1388,0.8306,23.8846,113.8522,568.5390,5315.3700,0.4445,0.6529,0.5464,0.6125,638524,False
2026-04-21,run_duration,run_duration,136.2871,154.0404,13.0264,0.8965,0.8870,-0.9539,0.8892,,,,,,,,,661844,False
2026-04-21,run_duration_residual,run_duration,136.2871,131.9561,-3.1779,0.8965,0.9007,0.4166,0.8849,,,,,,,,,661844,False
2026-04-21,wait_time,wait_time,398.9805,345.5606,-13.3891,0.5391,0.4488,-9.0329,0.9285,34.2169,85.1653,461.2068,5517.8591,0.2304,0.7731,0.6267,0.4833,675564,False
2026-04-21,wait_time_residual,wait_time,398.9805,425.5950,6.6706,0.5391,0.5582,1.9023,0.8862,34.0045,128.2313,737.3549,6053.6602,0.4399,0.7156,0.6918,0.5157,675564,False
2026-04-21,wait_time_residual_throughput,wait_time,398.9805,398.1113,-0.2179,0.5391,0.5862,4.7025,0.8778,28.8577,112.7287,645.9470,5927.2483,0.4693,0.7542,0.7001,0.5281,675564,False
2026-04-21,wait_time_residual_throughput_filtered,wait_time,398.9805,390.5262,-2.1190,0.5391,0.5858,4.6669,0.8785,28.4352,110.3531,613.6491,5896.7477,0.4645,0.7544,0.7094,0.5338,675564,False
2026-04-21,wait_time_residual_throughput_filtered_baseline,wait_time,403.2511,384.0095,-4.7716,0.5383,0.5841,4.5784,0.8768,28.3669,110.4454,611.9932,5745.4540,0.4650,0.7554,0.6881,0.5782,675564,False
2026-04-21,wait_time_residual_throughput_filtered_both,wait_time,403.2511,380.9922,-5.5199,0.5383,0.5833,4.5037,0.8748,27.5296,106.2692,584.5319,5822.7008,0.4627,0.7577,0.6891,0.5666,675564,False
2026-04-21,wait_time_residual_velocity,wait_time,398.9805,360.8651,-9.5532,0.5391,0.5054,-3.3724,0.8180,23.7573,110.6155,606.7408,5262.7595,0.4283,0.6386,0.5215,0.5795,675564,False
2026-04-22,run_duration,run_duration,129.6512,145.5866,12.2909,0.9020,0.8972,-0.4848,0.8948,,,,,,,,,685783,False
2026-04-22,run_duration_residual,run_duration,129.6512,128.7333,-0.7080,0.9020,0.9029,0.0867,0.9027,,,,,,,,,685783,False
2026-04-22,wait_time,wait_time,500.2639,394.1296,-21.2157,0.5320,0.4571,-7.4891,0.9163,29.0669,96.5268,463.1886,5748.4483,0.2336,0.7615,0.6737,0.4903,697501,False
2026-04-22,wait_time_residual,wait_time,500.2639,392.9892,-21.4436,0.5320,0.5653,3.3298,0.8733,28.7925,107.6649,521.8341,5461.7314,0.4474,0.7261,0.6938,0.5106,697501,False
2026-04-22,wait_time_residual_throughput,wait_time,500.2639,396.2328,-20.7952,0.5320,0.5827,5.0647,0.8702,25.7693,100.9500,501.1065,5671.3620,0.4678,0.7539,0.6868,0.5214,697501,False
2026-04-22,wait_time_residual_throughput_filtered,wait_time,500.2634,397.2773,-20.5864,0.5320,0.5772,4.5244,0.8695,24.6053,98.3152,478.6676,5798.8183,0.4660,0.7421,0.6853,0.4998,697501,False
2026-04-22,wait_time_residual_throughput_filtered_baseline,wait_time,500.7328,373.9311,-25.3232,0.5310,0.5837,5.2769,0.8699,24.9570,101.6074,533.2164,5099.2913,0.4692,0.7554,0.6837,0.5303,697501,False
2026-04-22,wait_time_residual_throughput_filtered_both,wait_time,500.7328,387.2636,-22.6606,0.5310,0.5804,4.9426,0.8755,24.8713,101.9369,529.2468,5390.2006,0.4666,0.7542,0.6797,0.5179,697501,False
2026-04-22,wait_time_residual_velocity,wait_time,500.2634,423.1011,-15.4243,0.5320,0.5140,-1.7986,0.8296,20.1131,93.1913,477.6293,6417.3385,0.4478,0.6630,0.5176,0.4031,697501,False
2026-04-23,run_duration,run_duration,138.7860,146.5965,5.6277,0.8869,0.8909,0.4049,0.8799,,,,,,,,,757919,False
2026-04-23,run_duration_residual,run_duration,138.7860,130.0775,-6.2748,0.8869,0.8970,1.0118,0.8787,,,,,,,,,757919,False
2026-04-23,wait_time,wait_time,613.7144,539.0651,-12.1635,0.5173,0.4265,-9.0756,0.9422,35.8818,82.2946,455.5202,6955.5015,0.2349,0.7605,0.5371,0.2699,775042,False
2026-04-23,wait_time_residual,wait_time,613.7144,519.8789,-15.2898,0.5173,0.5461,2.8850,0.8582,29.3710,105.2940,478.2959,6524.5742,0.4481,0.6985,0.6508,0.3862,775042,False
2026-04-23,wait_time_residual_additive,wait_time,613.7144,549.8618,-10.4043,0.5173,0.5342,1.6963,0.9085,39.9155,136.8331,528.0323,6651.7445,0.4307,0.6827,0.6306,0.4529,775042,False
2026-04-23,wait_time_residual_logdiff,wait_time,613.7144,519.8789,-15.2898,0.5173,0.5461,2.8850,0.8582,29.3710,105.2940,478.2959,6524.5742,0.4481,0.6985,0.6508,0.3862,775042,False
2026-04-23,wait_time_residual_throughput,wait_time,613.7144,495.1999,-19.3110,0.5173,0.5631,4.5843,0.8488,28.1080,105.4264,507.6628,6036.7009,0.4611,0.7301,0.6376,0.4630,775043,False
2026-04-23,wait_time_residual_throughput_filtered,wait_time,613.7137,489.3029,-20.2718,0.5173,0.5640,4.6749,0.8496,25.7694,101.1045,523.0634,5930.8523,0.4617,0.7296,0.6458,0.4469,775043,False
2026-04-23,wait_time_residual_throughput_filtered_baseline,wait_time,616.4676,445.9095,-27.6670,0.5152,0.5729,5.7643,0.8453,25.4580,99.5584,478.0086,5352.6069,0.4609,0.7389,0.6614,0.5067,775043,False
2026-04-23,wait_time_residual_throughput_filtered_both,wait_time,616.4676,480.7579,-22.0141,0.5152,0.5652,4.9987,0.8429,26.6833,105.4299,514.1811,5789.0220,0.4659,0.7265,0.6365,0.4661,775043,False
2026-04-23,wait_time_residual_velocity,wait_time,613.7137,518.3209,-15.5435,0.5173,0.5037,-1.3532,0.7978,22.6150,98.3195,523.0875,6451.6886,0.4473,0.6310,0.5059,0.4147,775043,False
2026-04-24,run_duration,run_duration,166.4286,174.7975,5.0285,0.8772,0.8808,0.3597,0.8571,,,,,,,,,870087,False
2026-04-24,run_duration_residual,run_duration,166.4286,186.4456,12.0274,0.8772,0.8686,-0.8562,0.8574,,,,,,,,,870087,False
2026-04-24,wait_time,wait_time,811.8808,748.5020,-7.8064,0.4845,0.5428,5.8264,0.8654,116.6622,277.2454,794.5750,5153.1227,0.4142,0.6994,0.6029,0.6595,892080,False
2026-04-24,wait_time_residual,wait_time,811.8808,737.8676,-9.1163,0.4845,0.4703,-1.4203,0.7374,28.2399,114.8140,578.6124,6328.0918,0.4177,0.6019,0.5284,0.2619,892080,False
2026-04-24,wait_time_residual_throughput,wait_time,811.8808,706.8299,-12.9392,0.4845,0.4943,0.9754,0.7329,22.7663,100.1721,537.5649,6141.1592,0.4318,0.6566,0.5470,0.2598,892080,False
2026-04-24,wait_time_residual_throughput_filtered_baseline,wait_time,827.0696,649.8339,-21.4293,0.4823,0.5574,7.5122,0.8400,51.9194,157.6359,623.9153,5070.6804,0.4501,0.7131,0.6483,0.5127,892080,False
2026-04-24,wait_time_residual_velocity,wait_time,811.8799,785.5096,-3.2481,0.4845,0.4942,0.9689,0.8315,54.1100,163.6258,497.1703,6725.4292,0.4297,0.6494,0.6050,0.2050,892080,False
2026-04-25,run_duration,run_duration,165.5995,170.1596,2.7537,0.8793,0.8856,0.6272,0.8569,,,,,,,,,936164,False
2026-04-25,run_duration_residual,run_duration,165.5995,160.2971,-3.2019,0.8793,0.8857,0.6403,0.8565,,,,,,,,,936164,False
2026-04-25,wait_time,wait_time,789.8400,802.5449,1.6085,0.4749,0.5267,5.1800,0.8766,106.3783,253.7325,744.7152,5791.6048,0.4135,0.6811,0.6036,0.5578,958965,False
2026-04-25,wait_time_residual,wait_time,789.8400,732.4629,-7.2644,0.4749,0.4191,-5.5857,0.6589,27.8932,115.0558,598.7461,6073.4454,0.3801,0.5503,0.4309,0.2323,958965,False
2026-04-25,wait_time_residual_throughput,wait_time,789.8400,700.0335,-11.3702,0.4749,0.4276,-4.7272,0.6670,21.8995,109.5677,551.0348,5867.1926,0.3913,0.5535,0.4511,0.2212,958965,False
2026-04-25,wait_time_residual_throughput_filtered,wait_time,789.8393,628.9418,-20.3709,0.4749,0.5414,6.6478,0.8170,45.4082,144.1910,588.1612,4860.0380,0.4405,0.6951,0.6193,0.4992,958965,False
2026-04-25,wait_time_residual_throughput_filtered_baseline,wait_time,805.8308,646.1671,-19.8136,0.4722,0.5423,7.0104,0.8316,49.1180,157.2052,595.4729,4973.3940,0.4409,0.7009,0.6374,0.4646,958965,False
2026-04-25,wait_time_residual_throughput_filtered_both,wait_time,805.8308,620.4667,-23.0029,0.4722,0.5350,6.2840,0.8338,42.9749,142.3761,580.1678,4803.4731,0.4411,0.6978,0.6252,0.4167,958965,False
2026-04-25,wait_time_residual_velocity,wait_time,789.8393,667.4666,-15.4934,0.4749,0.4861,1.1143,0.8300,44.1939,142.0711,574.8110,5293.6364,0.4244,0.6289,0.5151,0.3731,958965,False
2026-04-26,run_duration,run_duration,168.7830,173.2571,2.6508,0.8807,0.8877,0.7017,0.8594,,,,,,,,,763702,False
2026-04-26,run_duration_residual,run_duration,168.7830,159.4392,-5.5359,0.8807,0.8930,1.2352,0.8726,,,,,,,,,763702,False
2026-04-26,wait_time,wait_time,923.2120,777.2285,-15.8126,0.4693,0.4034,-6.5870,0.8809,77.2711,192.1215,588.6696,5355.2625,0.1989,0.6977,0.5791,0.3651,782799,False
2026-04-26,wait_time_residual,wait_time,923.2120,859.9052,-6.8572,0.4693,0.3481,-12.1132,0.6159,26.5445,131.4868,614.4081,6412.6441,0.3507,0.4002,0.3830,0.1725,782799,False
2026-04-26,wait_time_residual_throughput,wait_time,923.2120,805.4860,-12.7518,0.4693,0.3909,-7.8422,0.6243,23.5667,114.2320,593.6860,6003.5136,0.3748,0.4960,0.3873,0.2233,782799,False
2026-04-26,wait_time_residual_throughput_filtered,wait_time,923.2109,733.8803,-20.5078,0.4693,0.5287,5.9400,0.8377,52.8624,157.0464,614.1081,5105.0372,0.4411,0.6930,0.6150,0.4073,782799,False
2026-04-26,wait_time_residual_throughput_filtered_baseline,wait_time,942.8446,718.3121,-23.8144,0.4656,0.5446,7.8983,0.8610,65.9022,180.3050,640.6956,4816.0008,0.4401,0.6975,0.6329,0.5108,782799,False
2026-04-26,wait_time_residual_throughput_filtered_both,wait_time,942.8446,737.0733,-21.8245,0.4656,0.5323,6.6696,0.8579,57.6193,169.3893,628.4360,5064.1514,0.4393,0.6902,0.6297,0.4271,782799,False
2026-04-26,wait_time_residual_velocity,wait_time,923.2109,734.6671,-20.4226,0.4693,0.4873,1.7988,0.8366,47.6355,167.3279,629.6350,5087.9114,0.4185,0.6050,0.4982,0.5000,782799,False
2026-04-27,run_duration,run_duration,184.6238,186.6399,1.0920,0.8687,0.8780,0.9327,0.8414,,,,,,,,,559122,False
2026-04-27,run_duration_residual,run_duration,184.6238,174.9443,-5.2428,0.8687,0.8845,1.5851,0.8426,,,,,,,,,559122,False
2026-04-27,wait_time,wait_time,826.6950,1152.1367,39.3666,0.4641,0.4589,-0.5142,0.8639,163.9949,396.5022,962.2686,6808.2601,0.3093,0.6652,0.5686,0.4570,574958,False
2026-04-27,wait_time_residual,wait_time,826.6950,881.0085,6.5700,0.4641,0.2836,-18.0509,0.5173,32.1492,150.9247,732.5375,5881.7868,0.3158,0.2906,0.2885,0.1683,574958,False
2026-04-27,wait_time_residual_throughput,wait_time,826.6950,852.1698,3.0815,0.4641,0.3085,-15.5577,0.5474,25.8236,135.8357,675.5068,5779.6542,0.3311,0.3598,0.3023,0.1468,574958,False
2026-04-27,wait_time_residual_throughput_filtered_baseline,wait_time,853.7832,695.8170,-18.5019,0.4584,0.5460,8.7569,0.8526,92.5219,235.9774,733.2657,3917.0082,0.4336,0.6790,0.6222,0.5935,574958,False
2026-04-27,wait_time_residual_velocity,wait_time,826.6950,717.6851,-13.1862,0.4641,0.4733,0.9179,0.8458,66.7399,185.6119,711.8409,4335.0099,0.4087,0.5939,0.5046,0.4272,574958,False
2026-04-28,run_duration,run_duration,172.6907,172.1346,-0.3220,0.8840,0.8907,0.6739,0.8449,,,,,,,,,531856,False
2026-04-28,run_duration_residual,run_duration,172.6907,158.5910,-8.1647,0.8840,0.9001,1.6105,0.8466,,,,,,,,,531856,False
2026-04-28,wait_time,wait_time,740.3921,666.3234,-10.0040,0.4622,0.3647,-9.7555,0.8589,51.3736,93.9727,451.6334,5217.3729,0.1888,0.7355,0.5103,0.1672,542958,False
2026-04-28,wait_time_residual_throughput,wait_time,740.3921,619.3257,-16.3517,0.4622,0.5393,7.7023,0.8361,65.4277,178.5985,616.3349,4277.8958,0.4245,0.6973,0.6401,0.5773,542958,False
2026-04-28,wait_time_residual_throughput_filtered,wait_time,740.3921,629.9212,-14.9206,0.4622,0.5267,6.4456,0.8458,57.1853,167.3065,557.5932,4527.4583,0.4215,0.6909,0.6471,0.4737,542958,False
2026-04-28,wait_time_residual_throughput_filtered_baseline,wait_time,766.1571,639.9343,-16.4748,0.4538,0.5391,8.5259,0.8423,68.1888,203.0460,659.7249,4343.0614,0.4243,0.7025,0.6486,0.5573,542958,False
2026-04-28,wait_time_residual_throughput_filtered_both,wait_time,766.1571,610.8181,-20.2751,0.4538,0.5315,7.7700,0.8359,65.6917,179.9214,579.6529,4245.3911,0.4208,0.6902,0.6424,0.5371,542958,False
2026-04-28,wait_time_residual_velocity,wait_time,740.3921,693.6869,-6.3082,0.4622,0.4763,1.4056,0.8746,63.2368,193.5729,679.5229,4869.8491,0.3954,0.6362,0.5391,0.4124,542958,False
2026-04-29,run_duration,run_duration,135.6329,138.9433,2.4407,0.9015,0.9065,0.4934,0.9120,,,,,,,,,628767,False
2026-04-29,run_duration_residual,run_duration,135.6329,123.4003,-9.0189,0.9015,0.9162,1.4630,0.8885,,,,,,,,,628767,False
2026-04-29,wait_time,wait_time,623.0440,454.9015,-26.9873,0.4851,0.3990,-8.6066,0.8643,37.4578,91.2991,393.1617,4359.4261,0.1753,0.7137,0.5839,0.4642,644798,False
